history_date,production_isk,destruction_isk,mining_isk,trade_value,total_exports,total_imports,total_isk_destroyed,total_isk,isk_velocity,is_war_period
2024-10-01,137829923420835.25,44780923057501.336,36766229856913.28,829679411187586.1,5441115359308017.0,5443037517447124.0,44780923057501.336,1454002925885077.8,0.4977036711056715,1
2024-11-01,158229233058902.84,45149556229376.555,37870494497482.68,1024432434991638.0,4554394334109525.0,4556551473587514.0,45149556229376.56,1463857518227687.0,0.496675689024852,1
2024-12-01,171090759640376.56,46771426451547.44,45656081262340.28,1056472471889250.6,4209102990212970.0,4214294623888716.5,46771426451547.44,1474249924376575.2,0.4955526302798769,1
2025-01-01,173838571627981.9,46864870593896.45,56974852975582.72,997085048958130.2,4145663021734494.5,4152528346654944.5,46864870593896.445,1484557250604782.0,0.4942006294371314,1
2025-02-01,168388454791786.72,44547599498034.27,52877872588807.13,917287930373152.4,3584201985054583.5,3589876044851158.5,44547599498034.26,1493210953594489.5,0.49314188158043887,1
2025-03-01,184604387994662.03,50780051706623.93,63487654519285.984,973341564541805.8,4155372482843497.5,4161695302134627.0,50780051706623.94,1502819241223676.2,0.49179622364381964,1
2025-04-01,185180256011642.12,47766682045742.72,59901724816435.84,1076006691672825.8,4158010486735323.0,4161117339507659.5,47766682045742.7,1512230504840210.2,0.4909780924594188,1
2025-05-01,196380936941673.06,52099409726046.38,60564650131242.58,1029574253098008.5,4414900813368433.0,4417680951036027.0,52099409726046.375,1522120995159854.2,0.48979128365104874,1
2025-06-01,196156384714953.62,51392667135627.57,52621971185688.08,929385995803360.9,7394287695988570.0,7396274867078957.0,51392667135627.56,1531745113273283.0,0.488387868207213,1
2025-08-01,165219966728472.94,46391815779774.734,53632549163672.73,825413023267512.2,3054724452761427.0,3056546088149624.5,46391815779774.734,1548621461082632.8,0.48507845803747807,1
