region_id,region_name,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted,month
10000061,Tenerifis,1250195670.1,3250050.0,679818000.0,1296259450.0,42126679.95,310270.0,102264000.0,53216350.0,202502
10000062,Omist,303276333.7,803320.0,209438000.0,107330130.0,28795666.8,137000.0,58773000.0,817040.0,202502
10000063,Period Basis,125966930.6,0.0,90182000.0,69565980.0,50099496.7,0.0,31899000.0,836180.0,202502
10000064,Essence,1647585545.8,3478220.0,606909000.0,1242450560.0,390191916.2,236760.0,118326000.0,53906390.0,202502
10000065,Kor-Azor,777558769.95,6210800.0,331767000.0,195711400.0,152039186.1,397080.0,61072000.0,29566960.0,202502
10000066,Perrigen Falls,2268547720.2,2868010.0,952560000.0,997957170.0,288546703.15,354270.0,163354000.0,26143920.0,202502
10000067,Genesis,903125648.85,6838780.0,537111000.0,655058240.0,169695993.2,675220.0,110303000.0,168393350.0,202502
10000068,Verge Vendor,1782207232.75,1864420.0,3008000.0,457320050.0,407000718.5,151810.0,277000.0,88852720.0,202502
10000069,Black Rise,298322486.3,6963870.0,344754000.0,470931800.0,79384134.35,1116560.0,50583000.0,121866710.0,202502
10000070,Pochven,364069616.0,0.0,0.0,2616020.0,95969384.0,0.0,0.0,16190.0,202502
10000001,Derelik,1439327484.35,19948980.0,706164000.0,1106571200.0,318347072.85,1726970.0,104978000.0,149034860.0,202503
10000002,The Forge,3621670287.4,20753600.0,5064726000.0,2294713010.0,849090390.6,2799100.0,747771000.0,486939670.0,202503
10000003,Vale of the Silent,4687261926.1,5930900.0,1324542000.0,6453392470.0,258061031.65,471480.0,236968000.0,298029600.0,202503
10000005,Detorid,1260024099.65,2651030.0,212689000.0,264199860.0,136896349.3,129030.0,54460000.0,897700.0,202503
10000006,Wicked Creek,20199465.6,4078780.0,2593000.0,0.0,5706174.8,102950.0,480000.0,0.0,202503
10000007,Cache,379331587.45,828390.0,155402000.0,253431720.0,52227322.1,123760.0,24015000.0,3362630.0,202503
10000008,Scalding Pass,144583623.35,4906860.0,71641000.0,48842780.0,16663503.0,257160.0,17087000.0,6213740.0,202503
10000009,Insmother,882950753.8,5714330.0,91228000.0,447294750.0,162574518.3,254910.0,18618000.0,8982790.0,202503
10000010,Tribute,267513270.2,923800.0,547937000.0,1135471840.0,7897692.5,16400.0,61215000.0,25927070.0,202503
10000011,Great Wildlands,30469522.1,5004600.0,24082000.0,159516500.0,8747719.4,325300.0,2499000.0,1338310.0,202503
10000012,Curse,5917814.7,10369750.0,10049000.0,8385000.0,968881.4,381260.0,2298000.0,41440.0,202503
10000013,Malpais,1406184436.45,4645450.0,709758000.0,749360290.0,299009544.15,716020.0,197104000.0,49249140.0,202503
10000014,Catch,595552860.4,3201440.0,513961000.0,2327774190.0,57528726.45,663120.0,67241000.0,46609180.0,202503
10000015,Venal,129089386.65,3703980.0,6992000.0,49241920.0,12170445.7,381450.0,1305000.0,14152060.0,202503
10000016,Lonetrek,2781034346.1,23143280.0,1988107000.0,1858457880.0,670927812.25,2576970.0,347685000.0,353295740.0,202503
10000018,The Spire,1054672677.45,1921520.0,345503000.0,394732630.0,251208946.7,151330.0,94001000.0,17531980.0,202503
10000020,Tash-Murkon,2839464847.75,5336750.0,1073920000.0,1294259010.0,702850669.5,134660.0,145398000.0,155988440.0,202503
10000021,Outer Passage,1147848674.0,988280.0,127030000.0,392590990.0,126535993.15,126110.0,23959000.0,26572010.0,202503
10000022,Stain,57883590.6,149320.0,140764000.0,293349640.0,4094997.3,0.0,14894000.0,2162920.0,202503
10000023,Pure Blind,891661996.4,5421540.0,187760000.0,755111210.0,72380051.05,622040.0,47894000.0,39054410.0,202503
