region_name,source,quantity,month
Placid,metanox_mining,229060532628.0,202503
Placid,refinery_mining,53154697360.0,202503
Pochven,refinery_mining,10712496219.0,202503
Providence,metanox_mining,311524894255.0,202503
Providence,refinery_mining,335476656851.0,202503
Pure Blind,metanox_mining,351856228395.0,202503
Pure Blind,refinery_mining,472686958997.0,202503
Querious,metanox_mining,309126333229.0,202503
Querious,refinery_mining,719368404404.0,202503
Scalding Pass,metanox_mining,461989393115.0,202503
Scalding Pass,refinery_mining,18739931349.0,202503
Sinq Laison,metanox_mining,113247940950.0,202503
Sinq Laison,refinery_mining,145020573041.0,202503
Solitude,metanox_mining,166561436889.0,202503
Solitude,refinery_mining,30580432878.0,202503
Stain,metanox_mining,244972195413.0,202503
Stain,refinery_mining,382293118494.0,202503
Syndicate,metanox_mining,528318062860.0,202503
Syndicate,refinery_mining,269744159408.0,202503
Tash-Murkon,metanox_mining,31756997752.0,202503
Tash-Murkon,refinery_mining,97208450548.0,202503
Tenal,metanox_mining,96728512446.0,202503
Tenal,refinery_mining,180851104247.0,202503
Tenerifis,metanox_mining,137760372050.0,202503
Tenerifis,refinery_mining,565134606060.0,202503
The Bleak Lands,metanox_mining,80589344269.0,202503
The Bleak Lands,refinery_mining,12099104034.0,202503
The Citadel,metanox_mining,97840231588.0,202503
The Citadel,refinery_mining,78347410652.0,202503
The Forge,metanox_mining,74436186854.0,202503
The Forge,refinery_mining,149522737539.0,202503
The Kalevala Expanse,metanox_mining,112205514871.0,202503
The Kalevala Expanse,refinery_mining,434565118243.0,202503
The Spire,metanox_mining,89718128605.0,202503
The Spire,refinery_mining,292270410374.0,202503
Tribute,metanox_mining,115731395804.0,202503
Tribute,refinery_mining,430115538540.0,202503
Vale of the Silent,metanox_mining,235485257910.0,202503
Vale of the Silent,refinery_mining,1163669671852.0,202503
Venal,metanox_mining,308702576158.0,202503
Venal,refinery_mining,50757903185.0,202503
Verge Vendor,metanox_mining,46164353959.0,202503
Verge Vendor,refinery_mining,36668333132.0,202503
Wicked Creek,metanox_mining,296634587908.0,202503
Wormhole (Class 1),metanox_mining,19624808179.0,202503
Wormhole (Class 1),refinery_mining,2342085118.0,202503
Wormhole (Class 2),metanox_mining,79488477687.0,202503
Wormhole (Class 2),refinery_mining,10043642372.0,202503
Wormhole (Class 3),metanox_mining,32675534620.0,202503
Wormhole (Class 3),refinery_mining,859014188.0,202503
Wormhole (Class 4),metanox_mining,67700592864.0,202503
Wormhole (Class 4),refinery_mining,5180864810.0,202503
Wormhole (Class 5),metanox_mining,21922251716.0,202503
Wormhole (Class 5),refinery_mining,4225237552.0,202503
Wormhole (Class 6),metanox_mining,434329182.0,202503
Aridia,metanox_mining,254878770692.0,202504
Aridia,refinery_mining,143715950794.0,202504
Black Rise,metanox_mining,253967745160.0,202504
Black Rise,refinery_mining,23044015028.0,202504
Branch,metanox_mining,237657692611.0,202504
Branch,refinery_mining,300849457134.0,202504
Cache,metanox_mining,85669890297.0,202504
Cache,refinery_mining,161151741289.0,202504
Catch,metanox_mining,150916338474.0,202504
Catch,refinery_mining,290053409227.0,202504
Cloud Ring,metanox_mining,155809822041.0,202504
Cloud Ring,refinery_mining,130255491345.0,202504
Cobalt Edge,metanox_mining,97969712276.0,202504
Cobalt Edge,refinery_mining,182029532994.0,202504
Curse,metanox_mining,232805320471.0,202504
Curse,refinery_mining,3750572380.0,202504
Deklein,metanox_mining,190303488649.0,202504
Deklein,refinery_mining,274067395225.0,202504
Delve,metanox_mining,275903915471.0,202504
Delve,refinery_mining,360481278634.0,202504
Derelik,metanox_mining,158026369038.0,202504
Derelik,refinery_mining,161470383902.0,202504
Detorid,metanox_mining,260955300781.0,202504
Detorid,refinery_mining,215447789436.0,202504
Devoid,metanox_mining,87024234117.0,202504
Devoid,refinery_mining,99595502030.0,202504
Domain,metanox_mining,121276099389.0,202504
Domain,refinery_mining,308158074024.0,202504
Esoteria,metanox_mining,147615446330.0,202504
Esoteria,refinery_mining,255988779217.0,202504
Essence,metanox_mining,114201550636.0,202504
Essence,refinery_mining,127385323109.0,202504
Etherium Reach,metanox_mining,172139146475.0,202504
Etherium Reach,refinery_mining,562672195701.0,202504
Everyshore,metanox_mining,40403871715.0,202504
Everyshore,refinery_mining,87810772074.0,202504
Fade,metanox_mining,76410434984.0,202504
Fade,refinery_mining,72633389632.0,202504
Feythabolis,metanox_mining,88767581927.0,202504
Feythabolis,refinery_mining,233776327842.0,202504
Fountain,metanox_mining,421411702405.0,202504
Fountain,refinery_mining,770354813982.0,202504
Geminate,metanox_mining,272633587765.0,202504
Geminate,refinery_mining,165609153301.0,202504
Genesis,metanox_mining,271042663133.0,202504
Genesis,refinery_mining,80835919938.0,202504
Great Wildlands,metanox_mining,318067853216.0,202504
Great Wildlands,refinery_mining,206220443477.0,202504
Heimatar,metanox_mining,115027369884.0,202504
Heimatar,refinery_mining,41205670798.0,202504
Immensea,metanox_mining,34798649400.0,202504
Immensea,refinery_mining,623580962299.0,202504
Impass,metanox_mining,11324812200.0,202504
Impass,refinery_mining,589842124982.0,202504
Insmother,metanox_mining,275667515979.0,202504
Insmother,refinery_mining,288682610202.0,202504
Kador,metanox_mining,106590582008.0,202504
Kador,refinery_mining,130511142668.0,202504
Khanid,metanox_mining,175822431219.0,202504
Khanid,refinery_mining,105756254874.0,202504
Kor-Azor,metanox_mining,126806333323.0,202504
Kor-Azor,refinery_mining,15762768399.0,202504
Lonetrek,metanox_mining,83265236215.0,202504
Lonetrek,refinery_mining,83850158632.0,202504
Malpais,metanox_mining,144545311283.0,202504
Malpais,refinery_mining,377529621093.0,202504
Metropolis,metanox_mining,278572732429.0,202504
Metropolis,refinery_mining,70403334809.0,202504
Molden Heath,metanox_mining,143216261551.0,202504
Molden Heath,refinery_mining,136219043445.0,202504
Oasa,metanox_mining,151776343613.0,202504
Oasa,refinery_mining,284657372554.0,202504
Omist,metanox_mining,129044286872.0,202504
Omist,refinery_mining,105970987089.0,202504
Outer Passage,metanox_mining,108649879183.0,202504
Outer Passage,refinery_mining,207766699006.0,202504
Outer Ring,metanox_mining,378616700722.0,202504
Outer Ring,refinery_mining,4321011381.0,202504
Paragon Soul,metanox_mining,73692417779.0,202504
Paragon Soul,refinery_mining,95032941243.0,202504
Period Basis,metanox_mining,98280039676.0,202504
Period Basis,refinery_mining,76140289056.0,202504
Perrigen Falls,metanox_mining,180739808839.0,202504
Perrigen Falls,refinery_mining,463182403326.0,202504
Placid,metanox_mining,204934897868.0,202504
Placid,refinery_mining,37834338762.0,202504
Pochven,refinery_mining,9030684739.0,202504
Providence,metanox_mining,274410709894.0,202504
Providence,refinery_mining,291417922682.0,202504
Pure Blind,metanox_mining,290056923605.0,202504
Pure Blind,refinery_mining,483720022904.0,202504
Querious,metanox_mining,244184655770.0,202504
Querious,refinery_mining,373166504554.0,202504
Scalding Pass,metanox_mining,434938668483.0,202504
Scalding Pass,refinery_mining,13139796638.0,202504
Sinq Laison,metanox_mining,109748310812.0,202504
Sinq Laison,refinery_mining,79035031177.0,202504
Solitude,metanox_mining,157576349334.0,202504
Solitude,refinery_mining,17397836112.0,202504
Stain,metanox_mining,239287881665.0,202504
Stain,refinery_mining,273559650402.0,202504
Syndicate,metanox_mining,483544522191.0,202504
Syndicate,refinery_mining,219402485673.0,202504
Tash-Murkon,metanox_mining,22897227542.0,202504
Tash-Murkon,refinery_mining,68499674543.0,202504
Tenal,metanox_mining,94209770463.0,202504
Tenal,refinery_mining,130199496589.0,202504
Tenerifis,metanox_mining,123191645322.0,202504
Tenerifis,refinery_mining,369864967511.0,202504
The Bleak Lands,metanox_mining,70951825720.0,202504
The Bleak Lands,refinery_mining,14489834758.0,202504
The Citadel,metanox_mining,90034587343.0,202504
The Citadel,refinery_mining,70003111582.0,202504
The Forge,metanox_mining,68503257166.0,202504
The Forge,refinery_mining,121622332264.0,202504
The Kalevala Expanse,metanox_mining,134941576824.0,202504
The Kalevala Expanse,refinery_mining,357534053444.0,202504
The Spire,metanox_mining,73726347960.0,202504
The Spire,refinery_mining,230983032985.0,202504
Tribute,metanox_mining,132883290209.0,202504
Tribute,refinery_mining,538146934239.0,202504
Vale of the Silent,metanox_mining,199685015058.0,202504
Vale of the Silent,refinery_mining,1416743790615.0,202504
Venal,metanox_mining,317725393683.0,202504
Venal,refinery_mining,69967628534.0,202504
Verge Vendor,metanox_mining,44180515166.0,202504
Verge Vendor,refinery_mining,27843817198.0,202504
